 org.mozilla.firefox com.airbnb.android de.prosiebensat1digital.prosieben org.chromium.chrome com.moshbit.studo com.fsck.k9 com.instagram.android de.pilot.newyorker.android de.spiegel.android.app.spon com.isis_papyrus.raiffeisen_pay_eyewdg com.duckduckgo.mobile.android com.paypal.android.p2pmobile org.indywidualni.fblite de.mcdonalds.mcdonaldsinfoapp com.waze org.zwanoo.android.speedtest com.whatsapp de.zalando.mobile com.twitter.android com.tripadvisor.tripadvisor
org.mozilla.firefox 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
com.airbnb.android 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
de.prosiebensat1digital.prosieben 0.0 1.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
org.chromium.chrome 0.0 0.0 2.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
com.moshbit.studo 0.0 0.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0
com.fsck.k9 0.0 0.0 0.0 1.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
com.instagram.android 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1.0 0.0 0.0 2.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0
de.pilot.newyorker.android 0.0 0.0 0.0 0.0 0.0 0.0 1.0 4.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0
de.spiegel.android.app.spon 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
com.isis_papyrus.raiffeisen_pay_eyewdg 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
com.duckduckgo.mobile.android 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
com.paypal.android.p2pmobile 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
org.indywidualni.fblite 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
de.mcdonalds.mcdonaldsinfoapp 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 0.0 1.0 0.0 0.0 0.0 0.0
com.waze 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 5.0 0.0 0.0 0.0 0.0 0.0
org.zwanoo.android.speedtest 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0
com.whatsapp 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0
de.zalando.mobile 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0 0.0 0.0
com.twitter.android 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0 0.0
com.tripadvisor.tripadvisor 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 6.0
